"","Response","Reference","Target","Model","Sites","CCC","Precision","Accuracy","Kendall","Spearman"
"1","filter.feeder_bio","puertorico","argentina","rain",1,0.0987029818349632,0.337931839943761,0.292079556195087,0.647795711876656,0.296605745097078
"2","filter.feeder_bio","puertorico","macae","rain",1,-0.002897394855502,-0.0550265791839471,0.0526544607800598,0.461370507222036,-0.0772605591104903
"3","filter.feeder_bio","puertorico","frenchguiana","rain",1,0.109835481656946,0.202415900135927,0.542622795853432,0.625153100990981,0.250306240773083
"4","filter.feeder_bio","argentina","macae","rain",1,0.000757296930569473,0.0160111170007663,0.0472981947813651,0.504449883190566,0.00889976643620386
"5","filter.feeder_bio","argentina","frenchguiana","rain",1,0.219978671110567,0.404369841342841,0.544003653635634,0.710397417343872,0.420794962447443
"6","filter.feeder_bio","macae","frenchguiana","rain",1,-0.0364052751469321,-0.223195847523298,0.163109105975334,0.311866859623734,-0.376266394992687
"7","filter.feeder_bio","puertorico","argentina","hydro",1,0.424519498994705,0.507810187953551,0.83598066573949,0.797964591111646,0.597979612479661
"8","filter.feeder_bio","puertorico","macae","hydro",1,-0.00334607183887359,-0.0396497219523263,0.0843908021069305,0.640282567582601,0.280565136901327
"9","filter.feeder_bio","puertorico","frenchguiana","hydro",1,0.0701284471635856,0.356379181157625,0.196780426218467,0.73644662139597,0.472893386369508
"10","filter.feeder_bio","argentina","macae","hydro",1,-9.2831122462167e-05,-0.00253205537645527,0.0366623587009084,0.670986761597508,0.341973525311133
"11","filter.feeder_bio","argentina","frenchguiana","hydro",1,0.0234054974342094,0.372522336156216,0.0628297827070277,0.722308805521541,0.444617746035738
"12","filter.feeder_bio","macae","frenchguiana","hydro",1,-0.0332052796094577,-0.210858986586495,0.157476236355887,0.329678281197818,-0.340643541028883
"13","filter.feeder_bio","dataset","puertorico","rain",2,0.0374172539515275,0.367851677315164,0.101718318167324,0.649207058297967,0.29841652853013
"14","filter.feeder_bio","dataset","argentina","rain",2,0.0403406251131042,0.307582702226169,0.131153750913604,0.624668754516984,0.250193110167462
"15","filter.feeder_bio","dataset","macae","rain",2,-0.00233934864134944,-0.110457530886635,0.0211787156798785,0.422015797085326,-0.155968406794473
"16","filter.feeder_bio","dataset","puertorico","hydro",2,0.0714381270760588,0.713276044576212,0.100154950694444,0.761112352021443,0.522228924927728
"17","filter.feeder_bio","dataset","argentina","hydro",2,0.0882622038733119,0.579403920131842,0.152332769604369,0.767252800192701,0.536344688800472
"18","filter.feeder_bio","dataset","macae","hydro",2,-0.000269731186535171,-0.00872838599852006,0.0309027564295284,0.652186005117366,0.304372012118172
"19","filter.feeder_bio","dataset","puertorico","rain",2,0.0469537724120587,0.331017756294486,0.141846688037746,0.670985034621398,0.341972833218285
"20","filter.feeder_bio","dataset","argentina","rain",2,0.0616538697166052,0.385953914606003,0.159744123283589,0.662852324741026,0.326822304296047
"21","filter.feeder_bio","dataset","frenchguiana","rain",2,0.0437635002898579,0.184570452859885,0.23711000114997,0.662417900478682,0.324835899582444
"22","filter.feeder_bio","dataset","puertorico","hydro",2,0.179925347951044,0.678111468564419,0.26533299655284,0.744583426401608,0.489170806497743
"23","filter.feeder_bio","dataset","argentina","hydro",2,0.367789156249362,0.487584853780555,0.754308000746248,0.799530290256534,0.601121785059385
"24","filter.feeder_bio","dataset","frenchguiana","hydro",2,0.0242886678486608,0.372345384953374,0.0652315533646329,0.724201269063787,0.448402674269392
"25","filter.feeder_bio","dataset","puertorico","rain",2,0.0453677252771308,0.407357832467861,0.111370695887406,0.617377708286799,0.234757313985903
"26","filter.feeder_bio","dataset","macae","rain",2,-0.0045388319634021,-0.104440292075099,0.0434586295501588,0.453756578210727,-0.0924887272829927
"27","filter.feeder_bio","dataset","frenchguiana","rain",2,0.0719901408148708,0.267569166769641,0.269052453554372,0.674034071929629,0.348068197801004
"28","filter.feeder_bio","dataset","puertorico","hydro",2,0.0839141040936198,0.588028644260967,0.142704109591605,0.719454992182265,0.438913531857564
"29","filter.feeder_bio","dataset","macae","hydro",2,-0.00882212297166229,-0.027751569997504,0.317896355862237,0.643953721214818,0.287907444211195
"30","filter.feeder_bio","dataset","frenchguiana","hydro",2,0.115988312055965,0.394816054083407,0.293778104654939,0.777746855170878,0.55549387899808
"31","filter.feeder_bio","dataset","argentina","rain",2,0.0455889015041266,0.426414214493169,0.106912246249373,0.657894736842105,0.316876019385948
"32","filter.feeder_bio","dataset","macae","rain",2,-0.00111582733838711,-0.0529156442424227,0.0210869083115603,0.448492602069196,-0.10301479649906
"33","filter.feeder_bio","dataset","frenchguiana","rain",2,0.0424197413781037,0.375548293952716,0.112954158123388,0.674440610041189,0.348881326008013
"34","filter.feeder_bio","dataset","argentina","hydro",2,0.0740678509269864,0.542327696558923,0.136573978052288,0.747500903287968,0.496704973179347
"35","filter.feeder_bio","dataset","macae","hydro",2,0.000761283664881596,0.0226875749233763,0.0335550920471981,0.667426855045055,0.33485371216217
"36","filter.feeder_bio","dataset","frenchguiana","hydro",2,0.0163124910979108,0.349804175323362,0.0466332086597633,0.734888122008238,0.469776386647675
"37","filter.feeder_bio","dataset","puertorico","rain",3,0.0295257170334701,0.37025670486461,0.079743909146133,0.659481795845432,0.318966169716337
"38","filter.feeder_bio","dataset","argentina","rain",3,0.0471916928191352,0.411343431101525,0.114725772313324,0.655726845718415,0.312525318890947
"39","filter.feeder_bio","dataset","macae","rain",3,-0.00103042458059455,-0.0660538661433881,0.0155997618422172,0.447046390032262,-0.105907220590826
