"","site_brom.id","species","Domain","Kingdom","Phyllum","Sub.Phyllum","class","Sub.Class","ord","subord","family","subfamily","genus","species.y","name1","name2","name3","realm","functional_group","micro_macro","predation"
"53","macae_B35","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"54","macae_B36","Diptera.477","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"55","macae_B36","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"56","macae_B37","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"57","macae_B39","Coleoptera.56","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Elateridae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"58","macae_B40","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"59","macae_B41","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"60","macae_B42","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"61","macae_B43","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"62","macae_B6","Coleoptera.54","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Curculionidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"63","macae_B6","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"64","macae_B9","Coleoptera.56","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Coleoptera","Polyphaga","Elateridae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"65","macae_B9","Diptera.483","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,NA,NA,NA,"aquatic",NA,"macro",NA
"66","costarica_12","Diptera.407","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,"Ceratopogonid sp D",NA,NA,"aquatic",NA,"macro",NA
"67","costarica_15","Diptera.122","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp F",NA,NA,"aquatic",NA,"macro",NA
"68","costarica_15","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"69","costarica_19","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"70","costarica_2","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"71","costarica_21","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"72","costarica_21","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"73","costarica_21","Diptera.405","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae","Dasyheleniae",NA,NA,"Diptera sp P",NA,NA,"aquatic",NA,"macro",NA
"74","costarica_22","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"75","costarica_23","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"76","costarica_23","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"77","costarica_24","Diptera.119","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp J","Crinkly Diptera sp J",NA,"aquatic",NA,"macro",NA
"78","costarica_24","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"79","costarica_24","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"80","costarica_27","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"81","costarica_28","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"82","costarica_29","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"83","costarica_29","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"84","costarica_29","Diptera.312","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,"Diptera sp N","Robin's fuzzy chironomid",NA,"aquatic",NA,"macro",NA
"85","costarica_30","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"86","costarica_31","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"87","costarica_31","Diptera.122","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp F",NA,NA,"aquatic",NA,"macro",NA
"88","costarica_31","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"89","costarica_31","Diptera.312","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera","Nematocera","Ceratopogonidae",NA,NA,NA,"Diptera sp N","Robin's fuzzy chironomid",NA,"aquatic",NA,"macro",NA
"90","costarica_32","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"91","costarica_32","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"92","costarica_32","Diptera.406","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp J3",NA,NA,"aquatic",NA,"macro",NA
"93","costarica_33","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"94","costarica_35","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"95","costarica_36","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"96","costarica_36","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"97","costarica_36","Diptera.311","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp M","Possible chironomid thingy",NA,"aquatic",NA,"macro",NA
"98","costarica_37","Diptera.118","Eukaryota","Animalia","Annelida",NA,"Clitellata","Oligochaeta",NA,NA,NA,NA,NA,NA,"Diptera sp I (orange-pink)","Bright orange pink Diptera I",NA,"aquatic",NA,"macro",NA
"99","costarica_4","Diptera.120","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp B",NA,NA,"aquatic",NA,"macro",NA
"100","costarica_9","Diptera.122","Eukaryota","Animalia","Arthropoda",NA,"Insecta","Neoptera","Diptera",NA,NA,NA,NA,NA,"Diptera sp F",NA,NA,"aquatic",NA,"macro",NA
