"","argentina","cardoso","colombia","costarica","frenchguiana","macae","puertorico"
"max.depth",69.135,NA,82.35,39.4666666666667,69.3833333333333,103.703333333333,59.2333333333333
"min.depth",1.68833333333333,NA,14.9333333333333,4.51666666666667,24.7833333333333,24.485,2.96666666666667
"amplitude",67.4466666666667,NA,67.4166666666667,34.95,44.6,79.2183333333333,56.2666666666667
"net_fluc",-5.17921666666667,NA,-1.08333333333333,-14.35,-1.7,-26.4786666666667,15.35
"tot_fluc",345.463783333333,NA,623.083333333333,30.9833333333333,361.866666666667,760.045333333333,465.883333333333
"sd.depth",19.1052591509637,NA,14.4539591306674,8.98841618123665,10.5453577374501,17.678391419735,13.7133247764319
"cv.depth",93.521240393669,NA,33.9297546467586,60.7546517155473,25.5714559047347,58.3452320667476,56.892659536865
"wetness",0.442381987770433,NA,0.598359384471813,0.460418285313362,0.698220944475769,0.555021056874741,0.548905828698537
"prop.overflow.days",0.112678502181856,NA,0.0946493252169877,0.194581280788177,0.246666666666667,0.0613756613756614,0.183145496460809
"prop.driedout.days",0.277537779506443,NA,0.022066005989318,0.213793103448276,0.0208333333333333,0.102910052910053,0.169060155598777
"last_dry",15.2833333333333,NA,48.6166666666667,28.2333333333333,54.4333333333333,49.95,33.0666666666667
"last_wet",31.6833333333333,NA,23.5833333333333,24.8833333333333,11.2333333333333,38.2666666666667,19.85
"long_dry",7.28571428571429,NA,3,2.68181818181818,3.77777777777778,16.3846153846154,9.61538461538461
"long_wet",3.13888888888889,NA,3.36111111111111,2.27272727272727,5.98181818181818,2.47619047619048,5.10869565217391
"n_driedout",12.8,NA,1.31666666666667,6.8,1.25,6.48333333333333,10.2166666666667
"n_overflow",5.18333333333333,NA,5.75,5.03333333333333,14.8,3.86666666666667,11.0666666666667
