"X","site_brom.id","site","trt.name","mu.scalar","k.scalar","intended.mu","intended.k","temporal.block","maxvol","leaf.number","mean.diam","catchment.area","turbidity.initial","oxygen.percent.initial","oxygen.conc.initial","ph.initial","chlorophyll.initial","bacteria.per.ml..initial","amoeba.per.ml.initial","algae.per.ml.initial","ciliates.per.ml.initial","flagellates.per.ml.initial","rotifers.per.ml.initial","leafpack1.species1.mass.initial","leafpack2.species1.mass.initial","leafpack1.species2.mass.initial","leafpack2.species2.mass.initial","co2.final","methane.final","turbidity.final","oxygen.percent.final","oxygen.conc.final","ph.final","chlorophyll.final","bacteria.per.ml.final","amoeba.per.ml.final","algae.per.ml.final","ciliates.per.ml.final","flagellates.per.ml.final","rotifers.per.ml.final","leafpack1.species1.mass.final","leafpack2.species1.mass.final","leafpack1.species2.mass.final","leafpack2.species2.mass.final","water.volume.final","fpom.final","n15.bromeliad.final","final.bromeliad.percentn","final.bromeliad.percentc","species1","species2","decomp","sample_size_species","functional_group","engulfer_bio","filter.feeder_bio","gatherer_bio","piercer_bio","scraper_bio","shredder_bio","engulfer_abd","filter.feeder_abd","gatherer_abd","piercer_abd","scraper_abd","shredder_abd","predator_bio","prey_bio","predator_abd","prey_abd","cv.depth","wetness","prop.overflow.days","prop.driedout.days","n_driedout","n_overflow","days_last_catastrophe","type_catastrophe","mu.scalar.2","k.scalar.2","intended.mu.2","intended.k.2","detritivore_bio","PDratio"
11,"argentina_20","argentina","mu0.6k0.5",0.6,0.5,2.58,0.03,"a",600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6102,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.6926,0.502305,NA,0.466667,NA,0.466667,1,"filter.feeder",0,0.247059,0,0,0,0,0,3,0,0,0,0,0,2.6288,1,27,52.2717,0.543792,0.0568182,0.0795455,3.5,2.5,4,"driedout",0.36,0.25,6.6564,0.0009,0,NaN
12,"argentina_20","argentina","mu0.6k0.5",0.6,0.5,2.58,0.03,"a",600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6102,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.6926,0.502305,NA,0.466667,NA,0.466667,1,"gatherer",0,0,0.388889,0,0,0,0,0,7,0,0,0,0,2.6288,1,27,52.2717,0.543792,0.0568182,0.0795455,3.5,2.5,4,"driedout",0.36,0.25,6.6564,0.0009,0.388889,0
13,"argentina_20","argentina","mu0.6k0.5",0.6,0.5,2.58,0.03,"a",600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6102,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.6926,0.502305,NA,0.466667,NA,0.466667,1,"piercer",0,0,0,2.9,0,0,0,0,0,1,0,0,2.9,2.6288,1,27,52.2717,0.543792,0.0568182,0.0795455,3.5,2.5,4,"driedout",0.36,0.25,6.6564,0.0009,0,Inf
14,"argentina_20","argentina","mu0.6k0.5",0.6,0.5,2.58,0.03,"a",600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6102,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.6926,0.502305,NA,0.466667,NA,0.466667,1,"scraper",0,0,0,0,1.39286,0,0,0,0,0,15,0,0,2.6288,1,27,52.2717,0.543792,0.0568182,0.0795455,3.5,2.5,4,"driedout",0.36,0.25,6.6564,0.0009,1.39286,0
15,"argentina_20","argentina","mu0.6k0.5",0.6,0.5,2.58,0.03,"a",600,35,58.5,981.87,257,18.3,7.5,6.61,NA,NA,NA,NA,NA,NA,NA,150,150,NA,NA,1.6102,NA,36.4,7.2,3,5.88,23.34,NA,NA,NA,NA,NA,NA,80,80,NA,NA,52,NA,20.6926,0.502305,NA,0.466667,NA,0.466667,1,"shredder",0,0,0,0,0,0.6,0,0,0,0,0,2,0,2.6288,1,27,52.2717,0.543792,0.0568182,0.0795455,3.5,2.5,4,"driedout",0.36,0.25,6.6564,0.0009,0.6,0
16,"argentina_29","argentina","mu0.8k0.5",0.8,0.5,3.45,0.03,"b",345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.15705,NA,52.3,17.8,7,6.43,NA,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.3652,0.416129,NA,0.435096,NA,0.435096,1,"filter.feeder",0,0.0823529,0,0,0,0,0,1,0,0,0,0,0,1.54902,0,20,83.324,0.378471,0.0666667,0.244444,11.5,3,4,"driedout",0.64,0.25,11.9025,0.0009,0,NaN
17,"argentina_29","argentina","mu0.8k0.5",0.8,0.5,3.45,0.03,"b",345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.15705,NA,52.3,17.8,7,6.43,NA,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.3652,0.416129,NA,0.435096,NA,0.435096,1,"gatherer",0,0,0.666667,0,0,0,0,0,12,0,0,0,0,1.54902,0,20,83.324,0.378471,0.0666667,0.244444,11.5,3,4,"driedout",0.64,0.25,11.9025,0.0009,0.666667,0
18,"argentina_29","argentina","mu0.8k0.5",0.8,0.5,3.45,0.03,"b",345,32,54,797.44,NA,18.2,6.9,6.65,NA,NA,NA,NA,NA,NA,NA,130,160,NA,NA,1.15705,NA,52.3,17.8,7,6.43,NA,NA,NA,NA,NA,NA,NA,90,70,NA,NA,58,NA,17.3652,0.416129,NA,0.435096,NA,0.435096,1,"scraper",0,0,0,0,0.8,0,0,0,0,0,7,0,0,1.54902,0,20,83.324,0.378471,0.0666667,0.244444,11.5,3,4,"driedout",0.64,0.25,11.9025,0.0009,0.8,0
19,"argentina_15","argentina","mu1k0.5",1,0.5,4.31,0.03,"b",230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.34691,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.4811,0.616815,NA,0.584058,NA,0.584058,1,"gatherer",0,0,0.111111,0,0,0,0,0,2,0,0,0,0,0.711111,0,8,670.82,0.0222222,0.5,0.988889,NA,NA,NA,NA,1,0.25,18.5761,0.0009,0.111111,0
20,"argentina_15","argentina","mu1k0.5",1,0.5,4.31,0.03,"b",230,29,70,843.93,230,16.9,6.3,6.74,NA,NA,NA,NA,NA,NA,NA,230,150,NA,NA,1.34691,NA,71.4,16.1,6.3,6.52,2.36,NA,NA,NA,NA,NA,NA,130,40,NA,NA,20,NA,16.4811,0.616815,NA,0.584058,NA,0.584058,1,"scraper",0,0,0,0,0.6,0,0,0,0,0,6,0,0,0.711111,0,8,670.82,0.0222222,0.5,0.988889,NA,NA,NA,NA,1,0.25,18.5761,0.0009,0.6,0
